variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
subject_race_black,0.06683081951411855,1.0691145895478962,1.0218327927329558,1.118584188834971,0.0037818200979448215,0.09694450527735979,1.101799227881837,1.0486453004934528,1.1576474313953131,0.00012164767886213936,0.1693753386984194,1.1845646684550344,1.1201906192102171,1.2526381043445067,2.8305849568602248e-09,0.016402346923930018,1.0165376039150207,0.9552385482050701,1.0817703097461815,0.605241412770829,-0.016542413653727286,0.9835936607050242,0.9274001130818434,1.0431921192721827,0.5815354110678115,0.007025810000353312,1.007050548906448,0.9532716472451866,1.0638633919130223,0.8018823222854973,0.07094354226924206,1.0735206156195352,1.01419083547,1.136321165460024,0.01445519127913122,0.013899958289058158,1.0139970118681505,0.9504885764110712,1.0817488664196868,0.6736024598474191,-0.11303785815997755,0.8931168477154825,0.8309009824874442,0.9599912871511063,0.002152998940689918,0.04186781407602458,1.0427566318913886,0.963455298662211,1.1285852025135799,0.2995248673016043,-0.04789996826619506,0.9532291354716272,0.889743027168089,1.0212451876178918,0.17315393252982791
subject_race_hispanic,-0.714991620511458,0.4891962109932017,0.469867465793071,0.5093200748559558,9.148913925178726e-265,-0.6167378134956116,0.5397021781590781,0.517529701872428,0.5628245877595136,1.411996398266211e-182,-0.5683624133792989,0.5664522942876445,0.5379868549894022,0.5964238693342367,1.5828363554402651e-103,-0.6108552599238853,0.5428863615172356,0.5156533322633108,0.5715576397573348,1.0428959997325271e-119,-0.6730204178944476,0.5101653358325002,0.4856783873404413,0.5358868680780924,2.0299401898975634e-158,-0.6997809317519899,0.496694101780556,0.47424727918550336,0.5202033655676364,2.6795244254949906e-193,-0.5418982620658663,0.5816430927457187,0.5545676460320913,0.6100404337674392,5.634000128163289e-110,-0.5505388058342155,0.5766390301892128,0.5473333744554612,0.6075137871290431,4.4721731600714474e-95,-0.6137272729736767,0.5413294216484109,0.511236703269483,0.5731934754843631,3.402675551954761e-98,-0.606286301227846,0.545372462000004,0.5128390610854254,0.579969711508386,3.662675363099787e-83,-0.5977977454754523,0.5500215908278667,0.5206271567475846,0.5810756247651708,5.649512202718826e-101
subject_race_asian/pacific islander,-0.6661803748213825,0.5136668503070266,0.38349625744261834,0.6880214030349986,7.90317509681504e-06,-0.1859601796090028,0.8303066574593956,0.6319735899436423,1.0908828412954308,0.18176803176427458,0.3027088982937803,1.353520394991541,1.0338258319299976,1.7720755305929587,0.027668983435819514,-0.060341558536055315,0.9414429207967719,0.7112460188621512,1.2461437387534067,0.6731800386521496,-0.12385627450966015,0.8835068142079713,0.6806231480602314,1.146867092276505,0.35212123699595566,0.047317854871475704,1.0484552127185371,0.8425591311812615,1.3046660968892723,0.6714241398301619,0.11074450200434291,1.1171094511636308,0.8856930283554287,1.4089910227658613,0.34975658774961205,-0.05879611463534897,0.942898992865623,0.7477702096185942,1.1889461485774846,0.6191825505321455,-0.23520836249280233,0.7904061414758666,0.5901074075535586,1.0586917915041858,0.11469026756731672,-0.15637623343699283,0.8552373609415669,0.6243368096979031,1.171532628204658,0.3300807788738045,0.00712117667071328,1.0071465925437897,0.7545083052681011,1.3443778574606107,0.9614558555592825
county_type_Non core,0.10771117062649042,1.1137260221379066,1.0709319416346155,1.1582301397172485,7.126842439585925e-08,0.054248807044607765,1.0557472468321392,1.0119908523841232,1.1013955774084117,0.01200927478347936,-0.020132665988077003,0.9800686429067458,0.9341992375547984,1.028190247000418,0.4103829699178666,-0.05457216702789981,0.9468901721425548,0.8940074663205717,1.0029010180309337,0.06272034370311755,-0.0912667203253365,0.9127742229914072,0.8632384296668323,0.9651525621711777,0.0013465857704206545,0.00481623791943983,1.0048278546354232,0.9544802383702728,1.057831243499817,0.8543002121493576,-0.024390413451188413,0.9759046290789688,0.924882113488601,1.0297418786329438,0.3733399582239977,-0.007983627547400321,0.9920481569655251,0.9355708221824244,1.051934842776442,0.7895023952649711,-0.03744071934291621,0.9632515182112643,0.9021942840533906,1.0284408843377204,0.2624559540695446,0.03686764401860095,1.0375556850488001,0.9676788586814652,1.1124783701939365,0.3000242537304202,0.014814737366636006,1.0149250195156092,0.9541412609587088,1.0795810194852655,0.6382398182214459
county_type_Micropolitan,0.022079143474916754,1.0223246915973467,0.9793841927801094,1.0671478902296985,0.3132238314748852,-0.0024381234718363746,0.9975648463371183,0.9529575814072827,1.0442601455334761,0.916805571270474,-0.020196146096471558,0.9800064300177213,0.9311811864683903,1.0313917600918807,0.43860399153511154,-0.02104123661977929,0.9791785857218863,0.9221143294362556,1.0397742146816873,0.4921953325059514,-0.007090374139146511,0.9929347032591875,0.9391666447921238,1.0497810270451369,0.8028806666566757,-0.024812434184449103,0.9754928639846272,0.9246013354287104,1.02918554324141,0.3640689003864436,-0.07313452747293642,0.9294757815867036,0.8793515402830404,0.982457173246252,0.009718060826479642,-0.07224594077051276,0.9303020684658442,0.8748257904521254,0.9892963239510146,0.02127840280994728,-0.14461426863460783,0.8653560237019979,0.8093775700716656,0.925206078655018,2.2521316289444844e-05,-0.258880284898248,0.7719154274464326,0.714882165942288,0.8334987995460942,3.832899959566383e-11,-0.23960864011916438,0.7869357759013488,0.7351683356885365,0.8423484599802171,5.147233188422211e-12
subject_sex_female,-0.05041438814522376,0.9508353279639188,0.9102955229623582,0.9931805640020028,0.02334318347452564,-0.043603032082124744,0.9573339129031156,0.9146912522841801,1.0019645629120457,0.06071804975369311,-0.05564316146410251,0.9458766008979599,0.8976046087246522,0.9967445971533887,0.03734537284954877,0.04437673471462641,1.0453761101836896,0.9846702641663683,1.1098245285877162,0.145988104044441,-0.04457244153213755,0.9564063140453218,0.9037999953842463,1.0120746207316287,0.12254991473515753,0.003186545843835453,1.0031916282780788,0.9522741659502486,1.0568316132392088,0.9045614074798132,0.0537396720189039,1.0552098657418625,1.0005210306552064,1.1128880119889015,0.0477993761434164,0.04253328362975784,1.0434507856253366,0.9839236280026649,1.1065793228610046,0.15584322027165337,0.052675527060845766,1.0540875667338634,0.9887786496144131,1.1237101435960466,0.10649286466433726,0.02089134574514759,1.0211110975443956,0.9528516707488255,1.0942604242997336,0.5539729549734325,0.08912386617538624,1.0932160604324392,1.0292608551960005,1.1611452517154532,0.003759557261187017
const,-2.32611008257408,0.09767495658024133,0.09129302077489433,0.10450302840209719,0.0,-2.3656538161520673,0.09388789487456219,0.08717829043929212,0.10111389842079148,0.0,-2.719634210291512,0.06589885514124932,0.06044149492501345,0.07184896922743339,0.0,-2.4656003570369576,0.08495782203172057,0.07756180724364431,0.09305909417118387,0.0,-2.5744659874712057,0.07619450075440272,0.06967832389020698,0.08332005738772702,0.0,-2.368670814925,0.09360506207856689,0.0859506265823467,0.1019411724513473,0.0,-2.3694887179794377,0.09352853351312199,0.08523942545353334,0.1026237158987394,0.0,-2.126492491165695,0.11925484857078902,0.10776731951820177,0.1319668984180291,0.0,-2.060558605807783,0.1273827932487073,0.11373676756748924,0.14266605569051788,3.107611384357467e-278,-1.9093696354037852,0.14817376065532487,0.13179801330946753,0.16658417524996458,4.753807155448473e-224,-1.7531884841969934,0.17322075037026774,0.1561987053560129,0.1920978044629071,5.571344292107188e-242
Speeding Over Limit,-0.05687036932154976,0.944716525673471,0.9062191199460149,0.9848493529177813,0.007380342842117309,-0.03435836648622496,0.9662251798630073,0.924825842016061,1.0094777370906203,0.12410514284197927,0.04316044374762155,1.0441054015960922,0.993623046298989,1.0971525808531826,0.08783059812088019,0.03611013009411325,1.036770019783703,0.9791793240017221,1.0977479278559703,0.21557273732493998,0.07033324571056947,1.0728656495642523,1.0153824034916838,1.1336031607961112,0.012304735979156264,-0.029888883799637885,0.9705533717600296,0.921621422375927,1.022083281230993,0.25746649432780044,-0.0566246638363353,0.9449486762249657,0.8954075191806747,0.9972308491628165,0.039313659851186115,-0.03608167167792988,0.9645615129088702,0.9085659049385585,1.0240081728005908,0.23702082788379542,0.01023828210714701,1.0102908726430802,0.9447608875658917,1.0803661125045558,0.7647669121798641,0.01907258304982376,1.019255626614531,0.9482040931922361,1.0956312463151963,0.604922959143881,0.053493530549912044,1.054950166798065,0.989945356504808,1.12422352114125,0.09924257570040633
Speeding-10% or More Above Posted Speed,-0.13654970527640636,0.8723629581400069,0.8228423170251753,0.9248638712288052,4.660123212687795e-06,-0.12735625208932877,0.8804199652689154,0.8264562679123153,0.9379072376112203,7.935659808729077e-05,-0.13239268358522813,0.8759969379127651,0.8092650743788458,0.9482314998228966,0.00105724557292012,0.01988131308765669,1.0200802626650307,0.9350148684916513,1.11288470092179,0.6545060408366458,-0.03969356365917876,0.9610839050675812,0.8758581589399982,1.0546025782277717,0.4021315794141763,-0.11154055494858697,0.8944551160864548,0.8170865654650445,0.9791495644502307,0.01567267216243641,-0.14559671955590528,0.8645062713675926,0.7890621354122611,0.9471638033212921,0.0017774104854273024,-0.1367183179854818,0.8722158790583875,0.7912365742606835,0.961483031029545,0.005958947543029465,-0.14740856155628018,0.8629413407271814,0.7799576902588445,0.9547540422210499,0.004269647193286649,-0.006600192951515392,0.993421540480747,0.8917817250385349,1.106645639154016,0.9045998580296242,0.03624902882049333,1.0369140358205906,0.9471993143535509,1.1351261570702746,0.43239915742757806
No/Improper License Plate Lamp,0.004016433685821746,1.0040245103651269,0.9330188900412307,1.0804338777850313,0.9145292329033228,0.001902625471606795,1.0019044366119079,0.9242129417917089,1.086126859635401,0.9631505878353509,0.0935369019673592,1.0980511228403642,1.0036223497744001,1.2013645059239784,0.041472405949032655,0.12269664375536322,1.130541412125997,1.0234711360696696,1.2488128287037876,0.01565012661557492,0.10048613714319136,1.1057083133218104,1.0034451908310011,1.2183932768031673,0.04241515627186292,0.11493071647558874,1.12179571291879,1.0222654949159904,1.2310164314275263,0.01532901348666755,0.016587308710115455,1.0167256419153516,0.9148333391109202,1.1299665050825696,0.7581866898254501,0.044983952979412774,1.046011074412793,0.929867629341703,1.1766612077557732,0.45379635885108915,0.01290006376241504,1.0129836285286091,0.8795402177865645,1.166673008142075,0.8579442213289787,0.10154739553291879,1.1068823784289443,0.9475808457549397,1.292964716588806,0.20025218228462116,-0.09447973084531607,0.9098461762520164,0.7861144513644267,1.053052851278337,0.2052152674094473
"Ride, Not Secured By Safety Belt-Driver (12-1-85)",-0.1482559083729486,0.8622104398361483,0.7779268521757216,0.9556256356022023,0.004731314606832229,-0.13797716823225523,0.8711185806958601,0.7808385109141218,0.9718367767814021,0.013446478017989644,-0.10429642739763538,0.9009581891426689,0.7927230045318672,1.0239713669752675,0.11022180707505792,-0.18953748665725037,0.8273417020413248,0.7025804567431594,0.9742575179355797,0.02304575889933991,0.0032256747218098827,1.0032308828088747,0.8562830126394432,1.1753966730217866,0.968158535635779,-0.3257359232799522,0.7219958245484307,0.6142587900022677,0.8486292408830548,7.795202855632835e-05,-0.07931482940104333,0.9237490552986157,0.7894836091312305,1.080848680448342,0.3222878905535782,0.07203944089160445,1.0746977302646203,0.902901311692934,1.2791821171135034,0.41758480821161337,-0.03881147720208779,0.9619320381727396,0.7994292327208796,1.1574673632009074,0.6810119923715763,-0.24949471911607013,0.7791943956535627,0.6448313498382044,0.9415545729441664,0.00977778592931624,-0.26127866867280664,0.7700662963592996,0.6453405866180825,0.9188978859925198,0.0037538228010133103
Operate Motor Vehicle Without License Plates (Or With One Plate),-0.25676895376384185,0.7735469182241053,0.7044918778129335,0.849370806873801,7.370808787510885e-08,-0.2211980593575555,0.8015579085231916,0.7236574018887755,0.8878442741539501,2.2306955501820995e-05,-0.01635216244597501,0.9837808083888827,0.8805425149033838,1.099123168471288,0.7725144790616016,-0.09516040010129853,0.9092270826550601,0.7995903339164424,1.0338968003580462,0.1466408236678401,-0.02792325511081782,0.9724629955023482,0.8557401479390992,1.1051068246580642,0.6686383469470855,-0.22806453808261223,0.7960728811601613,0.7041714762251741,0.8999683365703254,0.0002684927421459666,-0.2656396305443212,0.7667153785254336,0.6726217574091335,0.87397183512431,6.995717016228039e-05,-0.0003940278426772109,0.9996060497760982,0.8672033308872832,1.152223727884701,0.9956633317758213,-0.13420669061619192,0.8744093137243646,0.7571786230306959,1.0097903251250635,0.0676530680425146,-0.0255708666818046,0.9747532989861583,0.8460889168592582,1.1229836190401838,0.7233084242398309,-0.08113760422997994,0.9220668024222378,0.8126696143309984,1.046190448290691,0.20796209472370963
No/Non-Compliant Head Lamps,-0.21322657102550444,0.8079730531932622,0.7035153271170146,0.9279406283324081,0.0025379850548476364,-0.09357036177111108,0.9106739385406533,0.7894716870607593,1.050483552392828,0.1991114696746834,0.01773636374126713,1.0178945870920477,0.8657626895556086,1.196759115321913,0.8299683454837454,0.17594224014372742,1.192369185588856,0.9955650171007904,1.4280777752538238,0.05591862572167829,0.2562345418250295,1.292055733514353,1.0894642230664815,1.5323201837766471,0.003232906603310469,-0.11895541252913952,0.8878473867489092,0.7509082653119027,1.0497593628556539,0.16398471038836393,-0.03282328285628181,0.9677095553482159,0.8156008772810377,1.1481863367216048,0.706769678980893,-0.22563124855401614,0.7980123156117261,0.6498447699401319,0.9799627316022836,0.03130974507137285,-0.04109579321796805,0.9597371892304606,0.7924821922894969,1.1622916973451753,0.674025027980811,-0.025341674341575346,0.9749767305793259,0.8028814773922077,1.1839600886779373,0.7981420699398549,-0.09633235978649884,0.9081621293325682,0.7606948924835504,1.0842171563176355,0.28662062279214406
Improperly Placed Or Obstructed License Plate,-0.04592259137664703,0.955115893535677,0.854840361175699,1.067154069363083,0.4170956188134929,0.08495381401594752,1.0886667843904965,0.9717690822006831,1.2196265441488754,0.142691039579129,-0.1282225197207738,0.8796576161977606,0.760473081867388,1.0175212511593699,0.08432313012670375,0.005058405268778325,1.0050712205999779,0.8555721984511024,1.180693061680945,0.9509108944220835,-0.12639254121461513,0.8812688445351513,0.7653339208314063,1.0147659148631982,0.07903981902039865,-0.1728496041350423,0.8412641279770438,0.7451964403786955,0.9497164702790616,0.005208083556555641,-0.28422836854448735,0.7525947561109272,0.6627038824333127,0.8546786610725225,1.1890530511020337e-05,-0.08473196873418973,0.9187585074079657,0.798360442617103,1.0573134011592746,0.23708090876303944,-0.07714495144073301,0.925755654264684,0.7976856076316807,1.0743876073526335,0.3098750385096779,-0.13480110834759038,0.8738897037717711,0.75360750661531,1.0133699673298866,0.0743949620805796,-0.13273974585414347,0.8756929651797146,0.7750899545196774,0.9893537708670858,0.033018009779998046
