violation,total_stops,citations,citation_rate,white,hispanic,black,asian/pacific islander,unknown,other,stop_white,stop_hispanic,stop_black,stop_asian/pacific islander,stop_unknwon,stop_other,year,rate_white,rate_hispanic,rate_black,rate_asian/pacific islander,discrepancy
Drive in Left Lane When Not Passing or Where Prohibited,17427,88,0.005,46,23,15,3,1,0,7613,4499,3854,405,1036,20,2011,0.006,0.0051,0.0039,0.0074,0.0035000000000000005
Speeding Over Limit (#),752908,4217,0.0056,2262,1318,289,105,237,6,492370,160410,64108,12220,22371,1409,2012,0.0046,0.0082,0.0045,0.0086,0.0041
Speeding-10% or More Above Posted Speed (#),288015,278169,0.9658,153515,80157,25819,8830,9273,572,159383,82956,26550,9014,9518,591,2012,0.9632,0.9663,0.9725,0.9796,0.01640000000000008
No/Improper License Plate Lamp,61001,29,0.0005,18,9,1,1,0,0,31748,19385,7063,848,1857,100,2012,0.0006,0.0005,0.0001,0.0012,0.0010999999999999998
"Ride, Not Secured By Safety Belt-Driver (12-1-85) (#)",30087,19976,0.6639,10610,6537,2028,217,559,25,17036,8682,3179,330,818,42,2012,0.6228,0.7529,0.6379,0.6576,0.1301
Operate Motor Vehicle Without License Plates (Or With One Plate),69238,1179,0.017,815,210,90,51,11,2,43840,15830,6538,1817,1102,111,2012,0.0186,0.0133,0.0138,0.0281,0.0148
No/Non-Compliant Head Lamps (#),46970,46,0.001,17,17,6,2,4,0,26512,12442,5250,1031,1652,81,2012,0.0006,0.0014,0.0011,0.0019,0.0013
Improperly Placed Or Obstructed License Plate (#),30191,260,0.0086,125,85,39,8,3,0,12255,12211,4290,427,959,49,2012,0.0102,0.007,0.0091,0.0187,0.011700000000000002
Display Expired License Plates/Registration (#),21968,5487,0.2498,3357,1535,432,93,65,5,12654,6768,1872,333,314,26,2012,0.2653,0.2268,0.2308,0.2793,0.05249999999999999
No/Improper Mud Flap,12203,186,0.0152,82,77,25,1,1,0,5904,4167,1409,62,634,26,2012,0.0139,0.0185,0.0177,0.0161,0.0046
No/Improper Tail Lamp - not Motorcycle,19538,150,0.0077,72,56,14,2,6,0,11405,5366,1857,277,604,29,2012,0.0063,0.0104,0.0075,0.0072,0.0040999999999999995
Following Too Closely,26624,785,0.0295,457,221,66,22,18,1,10489,9695,4879,401,1105,55,2012,0.0436,0.0228,0.0135,0.0549,0.0414
Drive On Improved Shoulder When Prohibited,19255,388,0.0202,207,102,56,16,6,1,8216,7922,2113,317,647,40,2012,0.0252,0.0129,0.0265,0.0505,0.0376
Fail To Signal Lane Change,17731,261,0.0147,143,73,25,13,7,0,9339,5091,2131,461,673,36,2012,0.0153,0.0143,0.0117,0.0282,0.0165
Disregard Stop Sign (#),13914,3542,0.2546,1839,1280,241,105,68,9,7676,4841,862,279,233,23,2012,0.2396,0.2644,0.2796,0.3763,0.13670000000000002
Fail To Drive In Single Lane (#),8935,1246,0.1395,773,249,154,26,39,5,4363,2893,1189,195,269,26,2012,0.1772,0.0861,0.1295,0.1333,0.0911
"Ride, Not Secured By Safety Belt-Passenger (When Required)",15248,9729,0.6381,3328,4983,940,159,300,18,5542,7153,1733,285,498,36,2012,0.6005,0.6966,0.5424,0.5579,0.1542
Fail to Move Over or Slow Down for Certain Vehicles,10917,1628,0.1491,892,445,143,72,72,4,5761,3046,1227,396,473,14,2012,0.1548,0.1461,0.1165,0.1818,0.06529999999999998
Inoperable/Obscured Stop Lamp(s) (#),18149,64,0.0035,27,29,5,0,3,0,9542,5869,1958,418,339,23,2012,0.0028,0.0049,0.0026,0.0,0.0049
Use Of Vision Reducing Matter On Windows - Glass Coating Material,8065,1776,0.2202,704,919,115,14,20,3,2555,4912,464,36,85,11,2012,0.2755,0.1871,0.2478,0.3889,0.20180000000000003
Unsafe Speed (#),5604,5465,0.9752,3410,1326,480,119,119,11,3473,1385,489,122,124,11,2012,0.9819,0.9574,0.9816,0.9754,0.024499999999999966
Fail To Control Speed (#),7511,7231,0.9627,4742,1555,595,165,161,12,4905,1614,640,174,164,13,2012,0.9668,0.9634,0.9297,0.9483,0.03710000000000002
Drive in Left Lane When Not Passing or Where Prohibited,19150,105,0.0055,59,32,11,1,2,0,8313,5005,4317,452,1009,54,2012,0.0071,0.0064,0.0025,0.0022,0.0049
Speeding Over Limit (#),657553,4110,0.0063,2520,1031,245,111,189,14,425190,146349,54162,10615,19648,1573,2013,0.0059,0.007,0.0045,0.0105,0.006000000000000001
Speeding-10% or More Above Posted Speed (#),259418,249939,0.9635,135431,74224,23460,8211,7895,702,141164,76919,24133,8358,8090,727,2013,0.9594,0.965,0.9721,0.9824,0.02300000000000002
No/Improper License Plate Lamp,45937,17,0.0004,4,6,6,0,1,0,23296,15511,4911,673,1447,89,2013,0.0002,0.0004,0.0012,0.0,0.0012
"Ride, Not Secured By Safety Belt-Driver (12-1-85) (#)",24282,15963,0.6574,8472,5323,1585,147,402,33,13747,7145,2517,229,596,47,2013,0.6163,0.745,0.6297,0.6419,0.12870000000000004
Operate Motor Vehicle Without License Plates (Or With One Plate),58460,870,0.0149,622,157,63,21,4,3,36362,13901,5651,1416,995,129,2013,0.0171,0.0113,0.0111,0.0148,0.006
No/Non-Compliant Head Lamps (#),34616,41,0.0012,16,13,9,1,2,0,18455,10314,3630,771,1353,91,2013,0.0009,0.0013,0.0025,0.0013,0.0016
Improperly Placed Or Obstructed License Plate (#),24302,176,0.0072,81,56,23,14,2,0,9858,10271,2906,347,866,54,2013,0.0082,0.0055,0.0079,0.0403,0.034800000000000005
Display Expired License Plates/Registration (#),17395,4206,0.2418,2518,1187,391,59,47,4,9499,5869,1511,215,269,32,2013,0.2651,0.2022,0.2588,0.2744,0.07219999999999999
No/Improper Mud Flap,9025,116,0.0129,60,43,10,1,2,0,4548,3031,946,37,440,22,2013,0.0132,0.0142,0.0106,0.027,0.016399999999999998
No/Improper Tail Lamp - not Motorcycle,16101,96,0.006,42,35,10,3,5,1,9246,4550,1544,192,532,37,2013,0.0045,0.0077,0.0065,0.0156,0.011099999999999999
Following Too Closely,17803,720,0.0404,419,185,61,40,13,2,7187,7087,2394,316,774,45,2013,0.0583,0.0261,0.0255,0.1266,0.1011
Drive On Improved Shoulder When Prohibited,15039,298,0.0198,155,95,31,15,2,0,6760,6076,1400,259,497,44,2013,0.0229,0.0156,0.0221,0.0579,0.042300000000000004
Fail To Signal Lane Change,14569,170,0.0117,85,56,21,2,4,2,7408,4630,1571,383,549,25,2013,0.0115,0.0121,0.0134,0.0052,0.0082
Disregard Stop Sign (#),12079,3153,0.261,1590,1210,173,97,77,6,6467,4402,675,269,242,23,2013,0.2459,0.2749,0.2563,0.3606,0.11469999999999997
Fail To Drive In Single Lane (#),7774,1283,0.165,786,294,131,35,31,6,3752,2713,869,174,244,22,2013,0.2095,0.1084,0.1507,0.2011,0.1011
"Ride, Not Secured By Safety Belt-Passenger (When Required)",13059,8198,0.6278,2686,4219,849,156,267,21,4624,6125,1527,272,460,51,2013,0.5809,0.6888,0.556,0.5735,0.13279999999999992
Fail to Move Over or Slow Down for Certain Vehicles,9137,1508,0.165,811,431,144,66,51,5,4871,2591,959,322,366,27,2013,0.1665,0.1663,0.1502,0.205,0.05479999999999999
Inoperable/Obscured Stop Lamp(s) (#),15679,43,0.0027,19,15,5,0,4,0,8187,5049,1737,372,307,25,2013,0.0023,0.003,0.0029,0.0,0.003
Use Of Vision Reducing Matter On Windows - Glass Coating Material,7346,1559,0.2122,570,876,91,4,16,2,2001,4872,358,37,69,8,2013,0.2849,0.1798,0.2542,0.1081,0.17679999999999998
Unsafe Speed (#),6095,5984,0.9818,3569,1562,561,122,151,19,3627,1602,570,124,153,19,2013,0.984,0.975,0.9842,0.9839,0.009199999999999986
Fail To Control Speed (#),7677,7424,0.967,4790,1739,571,150,157,16,4929,1810,598,160,163,16,2013,0.9718,0.9608,0.9548,0.9375,0.0343
Drive in Left Lane When Not Passing or Where Prohibited,25635,177,0.0069,79,55,24,10,8,1,11965,7527,4198,628,1225,90,2013,0.0066,0.0073,0.0057,0.0159,0.0102
Speeding Over Limit (#),558597,2396,0.0043,1390,690,167,50,97,2,337001,147084,45062,8905,19253,1292,2014,0.0041,0.0047,0.0037,0.0056,0.0018999999999999998
Speeding-10% or More Above Posted Speed (#),233453,224078,0.9598,116055,69856,21858,7195,8459,655,121310,72904,22527,7357,8683,672,2014,0.9567,0.9582,0.9703,0.978,0.021299999999999986
No/Improper License Plate Lamp,39008,11,0.0003,1,9,1,0,0,0,16944,16771,3543,409,1259,82,2014,0.0001,0.0005,0.0003,0.0,0.0005
"Ride, Not Secured By Safety Belt-Driver (12-1-85) (#)",21536,14520,0.6742,7133,4896,1715,215,526,35,11166,6804,2479,300,738,49,2014,0.6388,0.7196,0.6918,0.7167,0.08079999999999998
Operate Motor Vehicle Without License Plates (Or With One Plate),55183,890,0.0161,570,183,80,42,13,2,32261,15227,5061,1358,1136,140,2014,0.0177,0.012,0.0158,0.0309,0.0189
No/Non-Compliant Head Lamps (#),40831,35,0.0009,14,18,1,1,1,0,20284,13704,4238,728,1761,116,2014,0.0007,0.0013,0.0002,0.0014,0.0012
Improperly Placed Or Obstructed License Plate (#),24858,202,0.0081,91,88,15,5,1,2,9114,11772,2678,385,857,52,2014,0.01,0.0075,0.0056,0.013,0.0073999999999999995
Display Expired License Plates/Registration (#),14555,3271,0.2247,1941,922,306,45,47,10,7456,5419,1212,192,242,34,2014,0.2603,0.1701,0.2525,0.2344,0.09019999999999997
No/Improper Mud Flap,8661,171,0.0197,90,59,14,1,7,0,4063,3340,795,35,399,29,2014,0.0222,0.0177,0.0176,0.0286,0.011
No/Improper Tail Lamp - not Motorcycle,14887,75,0.005,26,36,8,1,4,0,7501,5305,1322,171,558,30,2014,0.0035,0.0068,0.0061,0.0058,0.0032999999999999995
Following Too Closely,15142,599,0.0396,320,180,56,24,17,2,5286,7122,1791,231,661,51,2014,0.0605,0.0253,0.0313,0.1039,0.0786
Drive On Improved Shoulder When Prohibited,12390,349,0.0282,192,84,47,16,8,2,5163,5636,967,197,393,34,2014,0.0372,0.0149,0.0486,0.0812,0.0663
Fail To Signal Lane Change,11940,179,0.015,101,52,13,8,5,0,5680,4238,1226,280,483,33,2014,0.0178,0.0123,0.0106,0.0286,0.018000000000000002
Disregard Stop Sign (#),10216,2734,0.2676,1386,1050,166,73,55,4,4825,4303,598,253,219,18,2014,0.2873,0.244,0.2776,0.2885,0.044499999999999984
Fail To Drive In Single Lane (#),6468,1389,0.2147,818,325,144,34,61,7,2986,2466,648,134,208,26,2014,0.2739,0.1318,0.2222,0.2537,0.14209999999999998
"Ride, Not Secured By Safety Belt-Passenger (When Required)",12651,8233,0.6508,2423,4449,897,146,286,32,3914,6500,1470,231,466,70,2014,0.6191,0.6845,0.6102,0.632,0.07430000000000003
Fail to Move Over or Slow Down for Certain Vehicles,7641,1508,0.1974,823,382,144,66,89,4,3955,2358,683,243,375,27,2014,0.2081,0.162,0.2108,0.2716,0.1096
Inoperable/Obscured Stop Lamp(s) (#),18481,46,0.0025,19,19,8,0,0,0,7061,9174,1631,292,299,24,2014,0.0027,0.0021,0.0049,0.0,0.0049
Use Of Vision Reducing Matter On Windows - Glass Coating Material,8537,1727,0.2023,491,1110,94,8,21,3,1739,6305,378,27,75,13,2014,0.2823,0.1761,0.2487,0.2963,0.1202
Unsafe Speed (#),6009,5901,0.982,3453,1607,537,119,164,21,3504,1649,544,121,170,21,2014,0.9854,0.9745,0.9871,0.9835,0.012599999999999945
Fail To Control Speed (#),7716,7534,0.9764,4830,1725,603,165,195,16,4935,1786,612,167,200,16,2014,0.9787,0.9658,0.9853,0.988,0.022199999999999998
Drive in Left Lane When Not Passing or Where Prohibited,21074,241,0.0114,115,68,37,7,12,2,10209,6144,3073,526,1043,79,2014,0.0113,0.0111,0.012,0.0133,0.002199999999999999
Speeding Over Limit (#),529145,1180,0.0022,639,366,90,15,64,6,298868,155879,43000,8652,21145,1601,2015,0.0021,0.0023,0.0021,0.0017,0.0006000000000000001
Speeding-10% or More Above Posted Speed (#),212943,205666,0.9658,99982,69004,19945,6846,9092,797,103526,71756,20571,6979,9295,816,2015,0.9658,0.9616,0.9696,0.9809,0.019299999999999984
No/Improper License Plate Lamp,32274,10,0.0003,5,4,1,0,0,0,12725,14978,2796,399,1280,96,2015,0.0004,0.0003,0.0004,0.0,0.0004
"Ride, Not Secured By Safety Belt-Driver (12-1-85) (#)",18251,11087,0.6075,5293,3978,1202,151,424,39,9114,6189,2016,226,644,62,2015,0.5808,0.6428,0.5962,0.6681,0.08730000000000004
Operate Motor Vehicle Without License Plates (Or With One Plate),51777,507,0.0098,277,156,45,18,9,2,27548,16664,4764,1244,1378,179,2015,0.0101,0.0094,0.0094,0.0145,0.0051
No/Non-Compliant Head Lamps (#),41910,36,0.0009,20,11,5,0,0,0,19318,15740,4090,689,1918,155,2015,0.001,0.0007,0.0012,0.0,0.0012
Improperly Placed Or Obstructed License Plate (#),25272,132,0.0052,55,64,7,5,1,0,8174,13256,2504,322,953,63,2015,0.0067,0.0048,0.0028,0.0155,0.0127
Display Expired License Plates/Registration (#),19992,4338,0.217,2461,1368,376,58,67,8,9534,8271,1574,229,351,33,2015,0.2581,0.1654,0.2389,0.2533,0.0927
No/Improper Mud Flap,7791,105,0.0135,52,43,6,0,3,1,3472,3054,724,31,488,22,2015,0.015,0.0141,0.0083,0.0,0.015
No/Improper Tail Lamp - not Motorcycle,13983,56,0.004,28,22,3,0,3,0,6455,5641,1116,209,523,39,2015,0.0043,0.0039,0.0027,0.0,0.0043
Following Too Closely,12396,478,0.0386,268,152,27,19,12,0,3896,6296,1415,164,588,37,2015,0.0688,0.0241,0.0191,0.1159,0.0968
Drive On Improved Shoulder When Prohibited,10024,377,0.0376,166,133,43,16,17,2,3651,5191,668,144,341,29,2015,0.0455,0.0256,0.0644,0.1111,0.0855
Fail To Signal Lane Change,11084,137,0.0124,66,53,11,4,2,1,4866,4371,1099,264,451,33,2015,0.0136,0.0121,0.01,0.0152,0.0052
Disregard Stop Sign (#),9478,2426,0.256,1149,943,172,86,64,12,4278,4154,539,220,258,29,2015,0.2686,0.227,0.3191,0.3909,0.16390000000000002
Fail To Drive In Single Lane (#),6413,1820,0.2838,1017,464,221,48,63,7,2710,2616,693,143,231,20,2015,0.3753,0.1774,0.3189,0.3357,0.19790000000000002
"Ride, Not Secured By Safety Belt-Passenger (When Required)",10438,6298,0.6034,1661,3617,605,131,246,38,2955,5685,1099,217,418,64,2015,0.5621,0.6362,0.5505,0.6037,0.0857
Fail to Move Over or Slow Down for Certain Vehicles,6799,1291,0.1899,605,408,116,60,96,6,3102,2496,585,197,397,22,2015,0.195,0.1635,0.1983,0.3046,0.14109999999999998
Inoperable/Obscured Stop Lamp(s) (#),20337,38,0.0019,14,21,2,1,0,0,7189,10743,1663,318,394,30,2015,0.0019,0.002,0.0012,0.0031,0.0019
Use Of Vision Reducing Matter On Windows - Glass Coating Material,8257,1575,0.1907,399,1058,78,8,30,2,1644,6089,366,30,116,12,2015,0.2427,0.1738,0.2131,0.2667,0.09289999999999998
Unsafe Speed (#),7190,7093,0.9865,3954,1963,745,187,210,34,4002,2005,748,190,211,34,2015,0.988,0.9791,0.996,0.9842,0.016900000000000026
Fail To Control Speed (#),8314,8167,0.9823,5129,1840,739,184,243,32,5207,1887,755,187,246,32,2015,0.985,0.9751,0.9788,0.984,0.00990000000000002
Drive in Left Lane When Not Passing or Where Prohibited,16645,164,0.0099,68,70,12,8,5,1,6654,6355,2103,398,1047,88,2015,0.0102,0.011,0.0057,0.0201,0.0144
Speeding Over Limit (#),552698,1040,0.0019,601,344,75,18,0,2,324971,170651,48395,8201,1,477,2016,0.0018,0.002,0.0015,0.0022,0.0007000000000000001
Speeding-10% or More Above Posted Speed (#),226539,219343,0.9682,111117,79349,22531,6107,0,238,114689,82245,23146,6215,0,243,2016,0.9689,0.9648,0.9734,0.9826,0.017800000000000038
No/Improper License Plate Lamp,29260,6,0.0002,2,4,0,0,0,0,12649,13255,2909,417,0,30,2016,0.0002,0.0003,0.0,0.0,0.0003
"Ride, Not Secured By Safety Belt-Driver (12-1-85) (#)",16623,10023,0.603,4971,4037,930,80,0,5,8520,6254,1696,144,0,9,2016,0.5835,0.6455,0.5483,0.5556,0.09719999999999995
Operate Motor Vehicle Without License Plates (Or With One Plate),57819,597,0.0103,311,223,52,11,0,0,30974,20075,5548,1185,0,37,2016,0.01,0.0111,0.0094,0.0093,0.0018000000000000013
No/Non-Compliant Head Lamps (#),40423,31,0.0008,12,14,3,2,0,0,19741,15726,4304,621,0,31,2016,0.0006,0.0009,0.0007,0.0032,0.0026000000000000003
Improperly Placed Or Obstructed License Plate (#),27973,181,0.0065,63,91,24,3,0,0,9847,14715,3094,293,0,24,2016,0.0064,0.0062,0.0078,0.0102,0.004000000000000001
Display Expired License Plates/Registration (#),29326,7298,0.2489,3962,2589,665,81,0,1,13858,12702,2492,265,0,8,2016,0.2859,0.2038,0.2669,0.3057,0.10190000000000002
No/Improper Mud Flap,6644,73,0.011,25,41,6,1,0,0,3287,2667,653,36,0,1,2016,0.0076,0.0154,0.0092,0.0278,0.0202
No/Improper Tail Lamp - not Motorcycle,12812,48,0.0037,19,24,4,1,0,0,6394,5018,1209,182,0,9,2016,0.003,0.0048,0.0033,0.0055,0.0024999999999999996
Following Too Closely,9960,397,0.0399,200,145,38,12,0,2,3524,4985,1298,133,0,20,2016,0.0568,0.0291,0.0293,0.0902,0.0611
Drive On Improved Shoulder When Prohibited,9150,435,0.0475,204,149,68,14,0,0,3727,4518,754,139,0,12,2016,0.0547,0.033,0.0902,0.1007,0.0677
Fail To Signal Lane Change,9966,134,0.0134,61,57,10,5,0,1,4562,4050,1082,258,0,14,2016,0.0134,0.0141,0.0092,0.0194,0.0102
Disregard Stop Sign (#),9256,2525,0.2728,1177,1105,176,66,0,1,4173,4255,598,226,0,4,2016,0.2821,0.2597,0.2943,0.292,0.03460000000000002
Fail To Drive In Single Lane (#),6931,2134,0.3079,1238,578,272,42,0,4,3150,2843,789,138,0,11,2016,0.393,0.2033,0.3447,0.3043,0.1897
"Ride, Not Secured By Safety Belt-Passenger (When Required)",10448,6473,0.6195,1828,3890,613,137,0,5,3173,5924,1129,214,0,8,2016,0.5761,0.6567,0.543,0.6402,0.11369999999999991
Fail to Move Over or Slow Down for Certain Vehicles,6469,1376,0.2127,689,509,122,54,0,2,3395,2214,641,214,0,5,2016,0.2029,0.2299,0.1903,0.2523,0.06200000000000003
Inoperable/Obscured Stop Lamp(s) (#),16441,42,0.0026,15,23,3,1,0,0,6459,7984,1666,326,0,6,2016,0.0023,0.0029,0.0018,0.0031,0.0013
Use Of Vision Reducing Matter On Windows - Glass Coating Material,8412,2043,0.2429,580,1351,106,6,0,0,2027,5923,430,31,0,0,2016,0.2861,0.2281,0.2465,0.1935,0.09260000000000002
Unsafe Speed (#),5908,5839,0.9883,3488,1602,635,107,0,7,3517,1637,640,107,0,7,2016,0.9918,0.9786,0.9922,1.0,0.021399999999999975
Fail To Control Speed (#),8505,8375,0.9847,5435,2019,739,176,0,6,5504,2062,756,177,0,6,2016,0.9875,0.9791,0.9775,0.9944,0.016899999999999915
Drive in Left Lane When Not Passing or Where Prohibited,16205,94,0.0058,37,47,8,2,0,0,6847,6851,2108,369,0,29,2016,0.0054,0.0069,0.0038,0.0054,0.0031
Speeding Over Limit (#),621080,773,0.0012,400,297,55,19,0,1,353916,202441,54062,10080,0,579,2017,0.0011,0.0015,0.001,0.0019,0.0009
Speeding-10% or More Above Posted Speed (#),254732,244721,0.9607,121320,91308,24788,7017,0,287,126525,95236,25527,7151,0,292,2017,0.9589,0.9588,0.9711,0.9813,0.022499999999999964
No/Improper License Plate Lamp,33667,11,0.0003,5,5,1,0,0,0,13445,16093,3624,484,0,21,2017,0.0004,0.0003,0.0003,0.0,0.0004
"Ride, Not Secured By Safety Belt-Driver (12-1-85) (#)",19147,11448,0.5979,5138,5089,1070,143,0,8,9027,7816,2081,212,0,11,2017,0.5692,0.6511,0.5142,0.6745,0.1603
Operate Motor Vehicle Without License Plates (Or With One Plate),75895,741,0.0098,372,288,60,21,0,0,39270,26698,8116,1759,0,52,2017,0.0095,0.0108,0.0074,0.0119,0.0045000000000000005
No/Non-Compliant Head Lamps (#),48219,41,0.0009,13,19,7,2,0,0,21435,20584,5373,777,0,50,2017,0.0006,0.0009,0.0013,0.0026,0.002
Improperly Placed Or Obstructed License Plate (#),41824,228,0.0055,77,119,24,7,0,1,13565,22558,5066,594,0,41,2017,0.0057,0.0053,0.0047,0.0118,0.0070999999999999995
Display Expired License Plates/Registration (#),39781,9464,0.2379,4898,3567,892,99,0,8,17950,17586,3837,386,0,22,2017,0.2729,0.2028,0.2325,0.2565,0.07009999999999997
No/Improper Mud Flap,6800,69,0.0101,29,38,2,0,0,0,3323,2809,625,35,0,8,2017,0.0087,0.0135,0.0032,0.0,0.0135
No/Improper Tail Lamp - not Motorcycle,14116,43,0.003,17,20,4,2,0,0,6672,5768,1441,224,0,11,2017,0.0025,0.0035,0.0028,0.0089,0.0063999999999999994
Following Too Closely,12410,479,0.0386,256,172,35,15,0,1,4314,6434,1430,211,0,21,2017,0.0593,0.0267,0.0245,0.0711,0.046599999999999996
Drive On Improved Shoulder When Prohibited,12879,479,0.0372,208,170,81,19,0,1,4849,6836,958,227,0,9,2017,0.0429,0.0249,0.0846,0.0837,0.059699999999999996
Fail To Signal Lane Change,13658,162,0.0119,89,47,18,8,0,0,5837,5910,1520,367,0,24,2017,0.0152,0.008,0.0118,0.0218,0.0138
Disregard Stop Sign (#),11949,2961,0.2478,1332,1353,198,74,0,4,4741,6294,648,257,0,9,2017,0.281,0.215,0.3056,0.2879,0.09059999999999999
Fail To Drive In Single Lane (#),10177,2463,0.242,1410,691,305,51,0,6,4266,4606,1089,202,0,14,2017,0.3305,0.15,0.2801,0.2525,0.18050000000000002
"Ride, Not Secured By Safety Belt-Passenger (When Required)",12665,7911,0.6246,2040,4912,798,151,0,10,3595,7364,1433,254,0,19,2017,0.5675,0.667,0.5569,0.5945,0.11010000000000009
Fail to Move Over or Slow Down for Certain Vehicles,8005,2138,0.2671,1041,774,211,110,0,2,4038,2843,808,305,0,11,2017,0.2578,0.2722,0.2611,0.3607,0.10290000000000005
Inoperable/Obscured Stop Lamp(s) (#),19478,57,0.0029,18,31,8,0,0,0,7072,9696,2318,368,0,24,2017,0.0025,0.0032,0.0035,0.0,0.0035
Use Of Vision Reducing Matter On Windows - Glass Coating Material,12519,3404,0.2719,1022,2120,246,16,0,0,2970,8673,824,51,0,1,2017,0.3441,0.2444,0.2985,0.3137,0.09970000000000001
Unsafe Speed (#),6152,6010,0.9769,3424,1805,637,133,0,11,3477,1878,649,137,0,11,2017,0.9848,0.9611,0.9815,0.9708,0.023700000000000054
Fail To Control Speed (#),8733,8605,0.9853,5418,2204,772,200,0,11,5475,2263,782,202,0,11,2017,0.9896,0.9739,0.9872,0.9901,0.016199999999999992
Drive in Left Lane When Not Passing or Where Prohibited,19632,109,0.0056,52,38,12,7,0,0,7956,8612,2520,518,0,26,2017,0.0065,0.0044,0.0048,0.0135,0.0091
